Date,Description,Amount,Category
2026-01-05,Freelance Web Design,2500.00,Freelance
2026-01-08,Grocery Store,-85.50,Groceries
2026-01-10,Electric Bill,-120.00,Utilities
2026-01-12,Coffee Shop,-4.75,Dining Out
2026-01-15,Monthly Salary,5000.00,Salary
2026-01-18,Gas Station,-45.00,Transportation
2026-01-20,Netflix Subscription,-15.99,Entertainment
2026-01-22,Restaurant Dinner,-62.30,Dining Out
2026-01-25,Gym Membership,-50.00,Entertainment
2026-01-28,Amazon Purchase,-89.99,Entertainment
2026-02-01,Monthly Salary,5000.00,Salary
2026-02-03,Grocery Store,-110.25,Groceries
2026-02-05,Phone Bill,-75.00,Utilities
2026-02-08,Uber Rides,-32.50,Transportation
2026-02-10,Freelance Project,1800.00,Freelance
2026-02-12,Water Bill,-55.00,Utilities
2026-02-14,Valentine Dinner,-150.00,Dining Out
2026-02-15,Book Purchase,-24.99,Entertainment
